State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank
Alabama,0,12,260307,37.11,61.68,0.92,0.29,96589,160560,2402,756,0,-24.57,AL,#6baed6,-3
Arizona,3,0,66562,55.61,44.39,0.0,0.0,37016,29546,0,0,0,11.22,AZ,#fee5d9,1
Arkansas,0,9,183637,38.73,58.49,2.78,0.0,71117,107409,5111,0,0,-19.76,AR,#bdd7e7,-2
California,13,0,944050,66.2,24.28,6.79,2.73,624992,229191,64076,25791,0,41.92,CA,#de2d26,4
Colorado,6,0,292053,59.32,35.93,2.75,2.0,173248,104936,8046,5823,0,23.39,CO,#fcae91,2
Connecticut,7,0,365518,62.72,33.03,2.83,1.42,229238,120721,10350,5209,0,29.69,CT,#fcae91,2
Delaware,3,0,94875,55.71,42.07,1.04,1.18,52858,39911,988,1118,0,13.64,DE,#fee5d9,1
Florida,0,6,145681,30.79,62.13,3.56,3.52,44853,90515,5189,5124,0,-31.34,FL,#3182bd,-4
Georgia,0,14,148716,27.63,72.06,0.31,0.0,41089,107162,465,0,0,-44.43,GA,#08519c,-5
Idaho,4,0,135624,65.6,34.34,0.03,0.03,88975,46579,38,32,0,31.26,ID,#fb6a4a,3
Illinois,29,0,2094714,67.81,25.51,3.57,3.11,1420480,534395,74747,65092,0,42.3,IL,#de2d26,4
Indiana,15,0,1262964,55.14,40.49,1.96,2.41,696370,511364,24703,30527,0,14.65,IN,#fee5d9,1
Iowa,13,0,895082,70.91,25.46,1.9,1.73,634674,227921,16981,15506,0,45.45,IA,#de2d26,4
Kansas,10,0,570318,64.75,32.52,2.72,0.01,369268,185464,15511,75,0,32.23,KS,#fb6a4a,3
Kentucky,0,13,918636,49.26,49.69,0.7,0.35,452480,456497,6409,3250,0,-0.43,KY,#eff3ff,-1
Louisiana,0,10,126396,30.49,69.24,0.0,0.27,38538,87519,0,339,0,-38.75,LA,#3182bd,-4
Maine,6,0,197840,68.92,29.8,1.12,0.16,136355,58961,2214,310,0,39.12,ME,#fb6a4a,3
Maryland,8,0,428443,55.11,42.16,2.07,0.66,236117,180626,8876,2824,0,12.95,MD,#fee5d9,1
Massachusetts,18,0,993718,68.55,27.84,3.25,0.36,681153,276691,32267,3607,0,40.71,MA,#de2d26,4
Michigan,15,0,1048411,72.76,22.27,2.76,2.21,762865,233450,28947,23149,0,50.49,MI,#a50f15,5
Minnesota,12,0,735838,70.59,19.43,7.62,2.36,519421,142994,56106,17317,0,51.16,MN,#a50f15,5
Mississippi,0,10,82492,14.03,83.98,1.99,0.0,11576,69277,1639,0,0,-69.95,MS,#08519c,-5
