State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,12,248981,48.49,51.33,0.18,120725,127796,460,0,0,0.0,-2.84,AL,#eff3ff,-1,#08519c,41.83
Arizona,3,0,91254,57.57,42.23,0.2,52533,38537,184,0,0,0.0,15.34,AZ,#fee5d9,1,#fee5d9,9.55
Arkansas,0,9,197693,39.33,60.29,0.38,77751,119196,746,0,0,0.0,-20.96,AR,#6baed6,-3,#3182bd,10.97
California,13,0,1796656,64.69,34.19,1.12,1162323,614365,19968,0,0,0.0,30.5,CA,#fb6a4a,3,#de2d26,-18.47
Colorado,6,0,392242,64.72,33.94,1.34,253872,133131,5239,0,0,0.0,30.78,CO,#fb6a4a,3,#fb6a4a,-4.26
Connecticut,7,0,553124,53.63,45.57,0.8,296641,252085,4398,0,0,0.0,8.06,CT,#fee5d9,1,#fb6a4a,-25.95
Delaware,3,0,105891,65.03,34.6,0.37,68860,36643,388,0,0,0.0,30.43,DE,#fb6a4a,3,#fcae91,9.53
Florida,6,0,253674,56.83,40.12,3.05,144168,101764,7742,0,0,0.0,16.71,FL,#fee5d9,1,#6baed6,45.53
Georgia,0,14,229158,43.36,56.56,0.08,99368,129602,188,0,0,0.0,-13.2,GA,#bdd7e7,-2,#08519c,42.57
Idaho,4,0,151541,64.22,34.93,0.85,97322,52926,1293,0,0,0.0,29.29,ID,#fcae91,2,#fb6a4a,-1.47
Illinois,29,0,3107489,56.93,42.28,0.79,1769141,1313817,24531,0,0,0.0,14.65,IL,#fee5d9,1,#fb6a4a,-20.83
Indiana,15,0,1421314,59.68,39.59,0.73,848290,562691,10333,0,0,0.0,20.09,IN,#fcae91,2,#fee5d9,3.53
Iowa,13,0,1009489,61.77,37.57,0.66,623570,379311,6608,0,0,0.0,24.2,IA,#fcae91,2,#fb6a4a,-14.4
Kansas,10,0,713200,72.02,27.06,0.92,513672,193003,6525,0,0,0.0,44.96,KS,#de2d26,4,#fb6a4a,7.02
Kentucky,13,0,941274,59.36,40.48,0.16,558734,381070,1470,0,0,0.0,18.88,KY,#fee5d9,1,#fee5d9,15.93
Louisiana,0,10,215833,23.7,76.29,0.01,51160,164655,18,0,0,0.0,-52.59,LA,#08519c,-5,#08519c,3.62
Maine,6,0,262171,68.63,30.96,0.41,179923,81179,1069,0,0,0.0,37.67,ME,#fb6a4a,3,#a50f15,-12.53
Maryland,8,0,528348,57.06,42.33,0.61,301479,223626,3243,0,0,0.0,14.73,MD,#fee5d9,1,#fee5d9,10.73
Massachusetts,0,18,1577823,49.15,50.24,0.61,775566,792758,9499,0,0,0.0,-1.09,MA,#eff3ff,-1,#fb6a4a,-38.49
Michigan,15,0,1372082,70.36,28.92,0.72,965396,396762,9924,0,0,0.0,41.44,MI,#de2d26,4,#a50f15,-20.8
Minnesota,12,0,970976,57.77,40.83,1.4,560977,396451,13548,0,0,0.0,16.94,MN,#fee5d9,1,#de2d26,-27.44
Mississippi,0,10,151692,17.9,82.1,0.0,27153,124539,0,0,0,0.0,-64.2,MS,#08519c,-5,#08519c,17.59
Missouri,18,0,1500721,55.58,44.15,0.27,834080,662562,4079,0,0,0.0,11.43,MO,#fee5d9,1,#fee5d9,5.64
Montana,4,0,194108,58.37,40.48,1.15,113300,78578,2230,0,0,0.0,17.89,MT,#fee5d9,1,#fcae91,-5.23
Nebraska,8,0,547144,63.19,36.18,0.63,345745,197959,3440,0,0,0.0,27.01,NE,#fcae91,2,#fee5d9,9.5
Nevada,3,0,32417,56.54,43.46,0.0,18327,14090,0,0,0,0.0,13.08,NV,#fee5d9,1,#fee5d9,-6.73
New Hampshire,4,0,196757,58.65,41.02,0.33,115404,80715,638,0,0,0.0,17.63,NH,#fee5d9,1,#fcae91,-7.48
New Jersey,14,0,1549381,59.77,39.79,0.44,926050,616517,6814,0,0,0.0,19.98,NJ,#fee5d9,1,#fb6a4a,-14.78
New Mexico,3,0,118014,59.01,40.85,0.14,69645,48211,158,0,0,0.0,18.16,NM,#fee5d9,1,#fee5d9,12.66
New York,45,0,4405626,49.79,47.44,2.77,2193344,2089863,122419,0,0,0.0,2.35,NY,#fee5d9,1,#fcae91,-24.28
North Carolina,12,0,635150,54.94,45.06,0.0,348923,286227,0,0,0,0.0,9.88,NC,#fee5d9,1,#bdd7e7,29.04
North Dakota,5,0,239867,54.8,44.46,0.74,131441,106648,1778,0,0,0.0,10.34,ND,#fee5d9,1,#de2d26,-30.38
Ohio,24,0,2508346,64.89,34.45,0.66,1627546,864210,16590,0,0,0.0,30.44,OH,#fb6a4a,3,#fb6a4a,-4.19
Oklahoma,10,0,618427,63.72,35.44,0.84,394046,219174,5207,0,0,0.0,28.28,OK,#fcae91,2,#eff3ff,33.87
Oregon,5,0,319942,64.18,34.14,1.68,205341,109223,5378,0,0,0.0,30.04,OR,#fb6a4a,3,#fcae91,3.21
Pennsylvania,38,0,3150610,65.24,33.89,0.87,2055382,1067586,27642,0,0,0.0,31.35,PA,#fb6a4a,3,#de2d26,-14.91
Rhode Island,0,5,237194,49.55,50.16,0.29,117522,118973,699,0,0,0.0,-0.61,RI,#eff3ff,-1,#fcae91,-23.78
South Carolina,0,9,68605,8.54,91.39,0.07,5858,62700,47,0,0,0.0,-82.85,SC,#08519c,-5,#08519c,11.5
South Dakota,5,0,261865,60.18,39.2,0.62,157603,102660,1602,0,0,0.0,20.98,SD,#fcae91,2,#fb6a4a,-15.36
Tennessee,12,0,363473,53.76,46.04,0.2,195388,167343,742,0,0,0.0,7.72,TN,#fee5d9,1,#eff3ff,17.04
Texas,20,0,708999,51.77,48.1,0.13,367036,341032,931,0,0,0.0,3.67,TX,#fee5d9,1,#08519c,57.59
Utah,4,0,176603,53.58,45.86,0.56,94618,80985,1000,0,0,0.0,7.72,UT,#fee5d9,1,#fee5d9,-11.6
Vermont,4,0,135191,66.87,32.87,0.26,90404,44440,347,0,0,0.0,34.0,VT,#fb6a4a,3,#a50f15,-28.55
Virginia,12,0,305358,53.91,45.9,0.19,164609,140146,603,0,0,0.0,8.01,VA,#fee5d9,1,#6baed6,37.7
Washington,7,0,500840,67.06,31.3,1.64,335844,156772,8224,0,0,0.0,35.76,WA,#fb6a4a,3,#de2d26,-6.32
West Virginia,8,0,642752,58.43,41.04,0.53,375551,263784,3417,0,0,0.0,17.39,WV,#fee5d9,1,#fee5d9,12.01
Wisconsin,13,0,1016831,53.52,44.28,2.2,544205,450259,22367,0,0,0.0,9.24,WI,#fee5d9,1,#74c476,-19.72
Wyoming,3,0,82835,63.68,35.37,0.95,52748,29299,788,0,0,0.0,28.31,WY,#fcae91,2,#fb6a4a,-7.97
D. C.,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,DC,#fee5d9,1,#fee5d9,0.0
Alaska,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,AK,#fee5d9,1,#fee5d9,0.0
Hawaii,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,HI,#fee5d9,1,#fee5d9,0.0
