State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,I_Percen,Other_Percen,D_Actual,R_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,11,0,245354,84.74,14.13,0.83,0.3,207910,34675,2030,739,0,-70.61,AL,#08519c,-5,#eff3ff,-67.77
Arizona,3,0,118251,67.03,30.53,2.21,0.23,79264,36104,2618,265,0,-36.5,AZ,#3182bd,-4,#fee5d9,-51.84
Arkansas,9,0,220562,85.96,12.91,0.58,0.55,189602,28467,1269,1224,0,-73.05,AR,#08519c,-5,#6baed6,-52.09
California,22,0,2267966,58.39,37.39,2.79,1.43,1324157,847902,63299,32608,0,-21.0,CA,#6baed6,-3,#fb6a4a,-51.5
Colorado,6,0,457696,54.81,41.43,2.97,0.79,250877,189617,13591,3611,0,-13.38,CO,#bdd7e7,-2,#fb6a4a,-44.16
Connecticut,0,8,594183,47.4,48.54,3.45,0.61,281632,288420,20480,3651,0,1.14,CT,#fee5d9,1,#fee5d9,-6.92
Delaware,0,3,112901,48.11,50.55,1.22,0.12,54319,57073,1376,133,0,2.44,DE,#fee5d9,1,#fb6a4a,-27.99
Florida,7,0,276252,74.68,25.04,0.28,0.0,206307,69170,775,0,0,-49.64,FL,#08519c,-5,#fee5d9,-66.35
Georgia,12,0,255590,91.6,7.77,0.18,0.45,234118,19863,461,1148,0,-83.83,GA,#08519c,-5,#bdd7e7,-70.63
Idaho,4,0,186625,58.66,38.27,0.28,2.79,109479,71417,526,5203,0,-20.39,ID,#6baed6,-3,#fcae91,-49.68
Illinois,29,0,3407926,55.23,42.04,1.97,0.76,1882304,1432756,67258,25608,0,-13.19,IL,#bdd7e7,-2,#fee5d9,-27.84
Indiana,14,0,1576927,54.67,42.94,1.36,1.03,862054,677184,21388,16301,0,-11.73,IN,#bdd7e7,-2,#fcae91,-31.82
Iowa,11,0,1036687,57.69,39.98,1.97,0.36,598019,414433,20467,3768,0,-17.71,IA,#bdd7e7,-2,#fcae91,-41.91
Kansas,9,0,791978,53.56,44.13,2.31,0.0,424204,349498,18276,0,0,-9.43,KS,#eff3ff,-1,#de2d26,-54.39
Kentucky,11,0,983063,59.06,40.15,0.39,0.4,580574,394716,3853,3920,0,-18.91,KY,#bdd7e7,-2,#fee5d9,-37.79
Louisiana,10,0,268804,92.79,7.01,0.0,0.2,249418,18853,0,533,0,-85.78,LA,#08519c,-5,#08519c,-33.19
Maine,0,5,298444,43.19,55.83,0.83,0.15,128907,166631,2489,417,0,12.64,ME,#fee5d9,1,#fb6a4a,-25.03
Maryland,8,0,511054,61.5,36.04,2.05,0.41,314314,184184,10489,2067,0,-25.46,MD,#6baed6,-3,#fee5d9,-40.19
Massachusetts,17,0,1580114,50.64,46.64,2.17,0.55,800148,736959,34305,8702,0,-4.0,MA,#eff3ff,-1,#eff3ff,-2.91
Michigan,19,0,1664765,52.36,44.44,2.35,0.85,871700,739894,39205,13966,0,-7.92,MI,#eff3ff,-1,#de2d26,-49.36
Minnesota,11,0,1002843,59.91,36.29,2.54,1.26,600806,363959,25476,12602,0,-23.62,MN,#6baed6,-3,#fee5d9,-40.56
Mississippi,9,0,146034,95.98,3.55,0.47,0.0,140168,5180,686,0,0,-92.43,MS,#08519c,-5,#08519c,-28.23
Missouri,15,0,1609894,63.69,35.08,1.02,0.21,1025406,564713,16374,3401,0,-28.61,MO,#6baed6,-3,#fee5d9,-40.04
Montana,4,0,216479,58.8,36.07,3.65,1.48,127286,78078,7891,3224,0,-22.73,MT,#6baed6,-3,#fee5d9,-40.62
Nebraska,7,0,570137,62.98,35.29,1.73,0.0,359082,201177,9876,2,0,-27.69,NE,#6baed6,-3,#fcae91,-54.7
Nevada,3,0,41430,69.41,30.59,0.0,0.0,28756,12674,0,0,0,-38.82,NV,#3182bd,-4,#fee5d9,-51.9
New Hampshire,0,4,205520,48.99,50.42,0.46,0.13,100680,103629,947,264,0,1.43,NH,#fee5d9,1,#fee5d9,-16.2
New Jersey,16,0,1630063,49.48,47.59,2.64,0.29,806630,775684,42998,4751,0,-1.89,NJ,#eff3ff,-1,#fee5d9,-21.87
New Mexico,3,0,151606,62.72,35.76,1.17,0.35,95089,54217,1776,524,0,-26.96,NM,#6baed6,-3,#fee5d9,-45.12
New York,47,0,4688614,54.07,41.33,3.78,0.82,2534959,1937963,177397,38295,0,-12.74,NY,#bdd7e7,-2,#fee5d9,-15.09
North Carolina,13,0,711501,69.93,29.28,0.79,0.0,497566,208344,5591,0,0,-40.65,NC,#08519c,-5,#fee5d9,-50.53
North Dakota,4,0,256290,69.59,28.0,1.37,1.04,178350,71772,3521,2647,0,-41.59,ND,#08519c,-5,#fee5d9,-51.93
Ohio,26,0,2609728,49.88,47.03,2.46,0.63,1301695,1227319,64094,16620,0,-2.85,OH,#eff3ff,-1,#fb6a4a,-33.29
Oklahoma,11,0,704633,73.3,26.7,0.0,0.0,516468,188165,0,0,0,-46.6,OK,#08519c,-5,#fcae91,-74.88
Oregon,5,0,368808,57.99,36.88,4.19,0.94,213871,136019,15450,3468,0,-21.11,OR,#6baed6,-3,#fb6a4a,-51.15
Pennsylvania,0,36,2859177,45.33,50.84,3.19,0.64,1295948,1453540,91223,18466,0,5.51,PA,#fee5d9,1,#fb6a4a,-25.84
Rhode Island,4,0,266170,55.08,43.31,1.18,0.43,146604,115266,3138,1162,0,-11.77,RI,#bdd7e7,-2,#eff3ff,-11.16
South Carolina,8,0,104407,98.03,1.89,0.08,0.0,102347,1978,82,0,0,-96.14,SC,#08519c,-5,#08519c,-13.29
South Dakota,4,0,288438,63.62,34.4,0.54,1.44,183515,99212,1551,4160,0,-29.22,SD,#6baed6,-3,#fcae91,-50.2
Tennessee,11,0,390256,66.49,32.48,0.46,0.57,259473,126752,1796,2235,0,-34.01,TN,#3182bd,-4,#fee5d9,-41.73
Texas,23,0,863426,88.06,11.35,0.52,0.07,760348,97959,4450,669,0,-76.71,TX,#08519c,-5,#fee5d9,-80.38
Utah,4,0,206578,56.52,41.05,1.98,0.45,116750,84795,4087,946,0,-15.47,UT,#bdd7e7,-2,#fee5d9,-23.19
Vermont,0,3,136980,41.08,57.66,1.12,0.14,56266,78984,1533,197,0,16.58,VT,#fee5d9,1,#fb6a4a,-17.42
Virginia,11,0,297942,68.46,30.09,0.8,0.65,203979,89637,2382,1944,0,-38.37,VA,#3182bd,-4,#fee5d9,-46.38
Washington,8,0,614814,57.46,33.94,2.78,5.82,353260,208645,17080,35829,0,-23.52,WA,#6baed6,-3,#fb6a4a,-59.28
West Virginia,8,0,743774,54.47,44.47,0.69,0.37,405124,330731,5133,2786,0,-10.0,WV,#eff3ff,-1,#fee5d9,-27.39
Wisconsin,12,0,1114808,63.46,31.19,4.79,0.56,707410,347741,53379,6278,0,-32.27,WI,#3182bd,-4,#fee5d9,-41.51
Wyoming,3,0,96962,56.07,40.82,2.92,0.19,54370,39583,2829,180,0,-15.25,WY,#bdd7e7,-2,#fcae91,-43.56
D. C.,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,DC,#fee5d9,1,#fee5d9,0.0
Alaska,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,AK,#fee5d9,1,#fee5d9,0.0
Hawaii,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,HI,#fee5d9,1,#fee5d9,0.0
