State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,11,0,275744,86.38,12.82,0.8,238196,35358,2190,0,0,0.0,-73.56,AL,#08519c,-5,#08519c,-2.95
Arizona,3,0,124163,69.85,26.93,3.22,86722,33433,4008,0,0,0.0,-42.92,AZ,#08519c,-5,#3182bd,-6.42
Arkansas,9,0,179423,81.8,17.86,0.34,146765,32039,619,0,0,0.0,-63.94,AR,#08519c,-5,#08519c,9.11
California,22,0,2638882,66.95,31.7,1.35,1766836,836431,35615,0,0,0.0,-35.25,CA,#3182bd,-4,#6baed6,-14.25
Colorado,6,0,488684,60.37,37.09,2.54,295021,181267,12396,0,0,0.0,-23.28,CO,#6baed6,-3,#bdd7e7,-9.9
Connecticut,8,0,690723,55.32,40.35,4.33,382129,278685,29909,0,0,0.0,-14.97,CT,#bdd7e7,-2,#fee5d9,-16.11
Delaware,3,0,127603,54.62,44.85,0.53,69702,57236,665,0,0,0.0,-9.77,DE,#eff3ff,-1,#fee5d9,-12.21
Florida,7,0,327432,76.08,23.9,0.02,249117,78248,67,0,0,0.0,-52.18,FL,#08519c,-5,#08519c,-2.54
Georgia,12,0,293178,87.1,12.6,0.3,255364,36942,872,0,0,0.0,-74.5,GA,#08519c,-5,#08519c,9.33
Idaho,4,0,199617,62.96,33.19,3.85,125683,66256,7678,0,0,0.0,-29.77,ID,#6baed6,-3,#6baed6,-9.38
Illinois,29,0,3956522,57.7,39.69,2.61,2282999,1570393,103130,0,0,0.0,-18.01,IL,#bdd7e7,-2,#bdd7e7,-4.82
Indiana,14,0,1650897,56.63,41.89,1.48,934974,691570,24353,0,0,0.0,-14.74,IN,#bdd7e7,-2,#bdd7e7,-3.01
Iowa,11,0,1142733,54.41,42.7,2.89,621756,487977,33000,0,0,0.0,-11.71,IA,#bdd7e7,-2,#bdd7e7,6.0
Kansas,9,0,865514,53.67,45.95,0.38,464520,397727,3267,0,0,0.0,-7.72,KS,#eff3ff,-1,#eff3ff,1.71
Kentucky,11,0,926206,58.51,39.92,1.57,541944,369702,14560,0,0,0.0,-18.59,KY,#bdd7e7,-2,#bdd7e7,0.32
