State,EV_D,EV_R,EV_I,Total_Vote,D_Percen,R_Percen,I_Percen,I_2_Percen,Other_Percen,D_Actual,R_Actual,I_Actual,I_2_Actual,Other_Actual,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,0,11,214980,0.0,19.04,79.75,0.71,0.5,0,40930,171443,1522,2607,19.04,AL,#74c476,6,#08519c,82.12
Arizona,4,0,0,177065,53.79,43.82,0.0,1.87,0.52,95251,77597,0,3310,4217,-9.97,AZ,#eff3ff,-1,#bdd7e7,7.93
Arkansas,9,0,0,242475,61.72,21.02,16.52,0.31,0.43,149659,50959,40068,751,1789,-40.7,AR,#08519c,-5,#08519c,-0.59
California,25,0,0,4021538,47.57,47.13,0.03,4.73,0.54,1913134,1895269,1228,190381,211907,-0.44,CA,#eff3ff,-1,#bdd7e7,13.07
Colorado,6,0,0,515237,51.88,46.52,0.0,1.19,0.41,267288,239714,0,6115,8235,-5.36,CO,#eff3ff,-1,#fee5d9,-12.17
Connecticut,0,8,0,883518,47.91,49.55,0.0,1.55,0.99,423297,437754,0,13713,22467,1.64,CT,#fee5d9,1,#eff3ff,7.0
Delaware,0,3,0,139073,48.76,50.04,0.0,0.75,0.45,67813,69588,0,1050,1672,1.28,DE,#fee5d9,1,#eff3ff,10.39
Florida,8,0,0,577643,48.82,33.63,15.54,2.01,0.0,281988,194280,89755,11620,11620,-15.19,FL,#bdd7e7,-2,#08519c,25.45
Georgia,12,0,0,418764,60.81,18.31,20.31,0.39,0.18,254646,76691,85055,1636,2372,-42.5,GA,#08519c,-5,#08519c,20.99
Idaho,4,0,0,214816,49.98,47.26,0.0,2.31,0.45,107370,101514,0,4972,5932,-2.72,ID,#eff3ff,-1,#eff3ff,0.76
Illinois,28,0,0,3984046,50.07,49.22,0.0,0.0,0.71,1994715,1961103,0,0,28228,-0.85,IL,#eff3ff,-1,#eff3ff,2.62
Indiana,0,13,0,1656214,48.78,49.58,0.0,0.58,1.06,807833,821079,0,9649,27302,0.8,IN,#fee5d9,1,#fee5d9,-4.85
Iowa,10,0,0,1038272,50.31,47.58,0.0,1.17,0.94,522380,494018,0,12125,21874,-2.73,IA,#eff3ff,-1,#fee5d9,-7.23
Kansas,0,8,0,788819,44.61,53.63,0.0,0.58,1.18,351902,423039,0,4603,13878,9.02,KS,#fee5d9,1,#fcae91,-12.05
Kentucky,11,0,0,822658,56.74,41.48,1.27,0.19,0.32,466756,341210,10411,1567,4281,-15.26,KY,#bdd7e7,-2,#eff3ff,-6.03
Louisiana,0,0,10,416336,32.75,17.45,49.07,0.73,0.0,136344,72657,204290,3035,3045,-15.3,LA,#74c476,6,#08519c,45.9
Maine,0,5,0,264789,42.27,56.74,0.0,0.71,0.28,111916,150234,0,1884,2639,14.47,ME,#fee5d9,1,#fee5d9,9.48
Maryland,0,8,0,596735,48.01,49.4,0.41,1.67,0.51,286521,294814,2476,9983,12924,1.39,MD,#fee5d9,1,#eff3ff,5.09
Massachusetts,16,0,0,2107146,54.66,43.16,0.0,1.81,0.37,1151788,909370,0,38157,45988,-11.5,MA,#bdd7e7,-2,#eff3ff,-5.69
Michigan,0,19,0,2109609,47.57,49.23,0.0,2.2,1.0,1003448,1038595,0,46515,67566,1.66,MI,#fee5d9,1,#eff3ff,2.67
Minnesota,11,0,0,1212226,57.16,39.89,0.0,2.3,0.65,692966,483617,0,27866,35643,-17.27,MN,#bdd7e7,-2,#eff3ff,-11.72
Mississippi,0,0,9,192190,10.09,2.62,87.17,0.12,0.0,19384,5043,167538,225,225,-7.47,MS,#74c476,6,#08519c,79.65
Missouri,15,0,0,1578628,58.11,41.49,0.0,0.25,0.15,917315,655039,42,3998,6232,-16.62,MO,#bdd7e7,-2,#eff3ff,-13.68
Montana,4,0,0,224278,53.09,43.15,0.0,3.26,0.5,119071,96770,0,7313,8437,-9.94,MT,#eff3ff,-1,#eff3ff,-0.59
Nebraska,0,6,0,488940,45.85,54.15,0.0,0.0,0.0,224165,264774,0,0,1,8.3,NE,#fee5d9,1,#fee5d9,-8.86
Nevada,3,0,0,62117,50.37,47.26,0.0,2.36,0.01,31291,29357,0,1469,1469,-3.11,NV,#eff3ff,-1,#eff3ff,6.13
New Hampshire,0,4,0,231440,46.66,52.41,0.0,0.85,0.08,107995,121299,7,1970,2139,5.75,NH,#fee5d9,1,#eff3ff,9.99
