State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1534349,50.12,43.16,6.01,0.71,769044,662165,92149,10991,0,6.96,AL,#fee5d9,1,#fee5d9,0.19
Alaska,3,0,241620,50.8,33.27,10.9,5.03,122746,80380,26333,12161,0,17.53,AK,#fee5d9,1,#fee5d9,8.36
Arizona,0,8,1404405,44.29,46.52,7.98,1.21,622073,653288,112072,16972,0,-2.23,AZ,#eff3ff,-1,#fee5d9,-4.18
Arkansas,0,6,884262,36.8,53.74,7.9,1.56,325416,475171,69884,13791,0,-16.94,AR,#bdd7e7,-2,#bdd7e7,0.79
California,0,54,10019484,38.21,51.1,6.96,3.73,3828380,5119835,697847,373422,0,-12.89,CA,#bdd7e7,-2,#bdd7e7,0.51
Colorado,8,0,1510704,45.8,44.43,6.59,3.18,691848,671152,99629,48075,0,1.37,CO,#fee5d9,1,#eff3ff,5.63
Connecticut,0,8,1392614,34.69,52.83,10.02,2.46,483109,735740,139523,34242,0,-18.14,CT,#bdd7e7,-2,#eff3ff,-11.71
Delaware,0,3,271084,36.54,51.78,10.59,1.09,99062,140355,28719,2948,0,-15.24,DE,#bdd7e7,-2,#eff3ff,-7.04
D. C.,0,3,185726,9.34,85.19,1.94,3.53,17339,158220,3611,6556,0,-75.85,DC,#08519c,-5,#08519c,-0.31
Florida,0,25,5303794,42.32,48.02,9.12,0.54,2244536,2546870,483870,28518,0,-5.7,FL,#eff3ff,-1,#fee5d9,-7.59
Georgia,13,0,2299071,47.01,45.84,6.37,0.78,1080843,1053849,146337,18042,0,1.17,GA,#fee5d9,1,#eff3ff,1.76
Hawaii,0,4,360120,31.64,56.93,7.6,3.83,113943,205012,27358,13807,0,-25.29,HI,#6baed6,-3,#bdd7e7,-13.9
Idaho,4,0,491719,52.18,33.65,12.71,1.46,256595,165443,62518,7163,0,18.53,ID,#fee5d9,1,#fee5d9,4.92
Illinois,0,22,4311391,36.81,54.32,8.03,0.84,1587021,2341744,346408,36218,0,-17.51,IL,#bdd7e7,-2,#bdd7e7,-3.27
Indiana,12,0,2135842,47.13,41.55,10.5,0.82,1006693,887424,224299,17426,0,5.58,IN,#fee5d9,1,#fee5d9,-0.54
Iowa,0,7,1234075,39.92,50.26,8.52,1.3,492644,620258,105159,16014,0,-10.34,IA,#bdd7e7,-2,#eff3ff,-4.32
Kansas,6,0,1074300,54.29,36.08,8.62,1.01,583245,387659,92639,10757,0,18.21,KS,#fee5d9,1,#fee5d9,13.07
Kentucky,0,8,1388708,44.88,45.84,8.67,0.61,623283,636614,120396,8415,0,-0.96,KY,#eff3ff,-1,#eff3ff,2.25
Louisiana,0,9,1783959,39.94,52.01,6.91,1.14,712586,927837,123293,20243,0,-12.07,LA,#bdd7e7,-2,#eff3ff,-7.46
Maine,0,4,605897,30.76,51.62,14.19,3.43,186378,312788,85970,20761,0,-20.86,ME,#6baed6,-3,#eff3ff,-12.48
Maryland,0,10,1780870,38.27,54.25,6.5,0.98,681530,966207,115812,17321,0,-15.98,MD,#bdd7e7,-2,#bdd7e7,-1.8
Massachusetts,0,12,2556785,28.09,61.47,8.89,1.55,718107,1571763,227217,39698,0,-33.38,MA,#3182bd,-4,#bdd7e7,-14.87
