Year,Receipts,Outlays,GDP,Color
1920,0,0,0,transparent
1921,0,0,0,transparent
1922,0,0,0,transparent
1923,0,0,0,transparent
1924,0,0,0,transparent
1925,0,0,0,transparent
1926,0,0,0,transparent
1927,0,0,0,transparent
1928,0,0,0,transparent
1929,0,0,0,transparent
1930,4.1,3.3,97.4,transparent
1931,3.1,3.6,83.9,transparent
1932,1.9,4.7,67.6,#08519c
1933,2,4.6,57.6,transparent
1934,3,6.5,61.2,transparent
1935,3.6,6.4,69.6,transparent
1936,3.9,8.2,78.5,#08519c
1937,5.4,7.6,87.8,transparent
1938,6.8,6.8,89,transparent
1939,6.3,9.1,89.1,transparent
1940,6.5,9.5,96.8,#08519c
1941,8.7,13.7,114.1,transparent
1942,14.6,35.1,144.3,transparent
1943,24,78.6,180.3,transparent
1944,43.7,91.3,209.2,#08519c
1945,45.2,92.7,221.4,transparent
1946,39.3,55.2,222.6,transparent
1947,38.5,34.5,233.2,transparent
1948,41.6,29.8,256.6,#08519c
1949,39.4,38.8,271.3,transparent
1950,39.4,42.6,273.1,transparent
1951,51.6,45.5,320.2,transparent
1952,66.2,67.7,348.7,#a50f15
1953,69.6,76.1,372.5,transparent
1954,69.7,70.9,377,transparent
1955,65.5,68.4,395.9,transparent
1956,74.6,70.6,427,#a50f15
1957,80,76.6,450.9,transparent
1958,79.6,82.4,460,transparent
1959,79.2,92.1,490.2,transparent
1960,92.5,92.2,518.9,#08519c
1961,94.4,97.7,529.9,transparent
1962,99.7,106.8,567.8,transparent
1963,106.6,111.3,599.2,transparent
1964,112.6,118.5,641.5,#08519c
1965,116.8,118.2,687.5,transparent
1966,130.8,134.5,755.8,transparent
1967,148.8,157.5,810,transparent
1968,153,178.1,868.4,#a50f15
1969,186.9,183.6,948.1,transparent
1970,192.8,195.6,1012.7,transparent
1971,187.1,210.2,1080,transparent
1972,207.3,230.7,1176.5,#a50f15
1973,230.8,245.7,1310.6,transparent
1974,263.2,269.4,1438.5,transparent
1975,279.1,332.3,1560.2,transparent
1976,298.1,371.8,1738.1,#08519c
1977,355.6,409.2,1973.5,transparent
1978,399.6,458.7,2217.5,transparent
1979,463.3,504,2501.4,transparent
1980,517.1,590.9,2724.2,#a50f15
1981,599.3,678.2,3057,transparent
1982,617.8,745.7,3223.7,transparent
1983,600.6,808.4,3440.7,transparent
1984,666.4,851.8,3844.4,#a50f15
1985,734,946.3,4146.3,transparent
1986,769.2,990.4,4403.9,transparent
1987,854.3,1004,4651.4,transparent
1988,909.2,1064.4,5008.5,#a50f15
1989,991.1,1143.7,5399.5,transparent
1990,1032,1253,5734.5,transparent
1991,1055,1324.2,5930.5,transparent
1992,1091.2,1381.5,6242,#08519c
1993,1154.3,1409.4,6587.3,transparent
1994,1258.6,1461.8,6976.6,transparent
1995,1351.8,1515.8,7341.1,transparent
1996,1453.1,1560.5,7718.3,#08519c
1997,1579.2,1601.1,8211.7,transparent
1998,1721.7,1652.5,8663,transparent
1999,1827.5,1701.8,9208.4,transparent
2000,2025.2,1789,9821,#a50f15
2001,1991.1,1862.9,10225.3,transparent
2002,1853.1,2010.9,10543.9,transparent
2003,1782.3,2159.9,10980.2,transparent
2004,1880.1,2292.9,11676,#a50f15
2005,2153.6,2472,12428.6,transparent
2006,2406.9,2655.1,13206.5,transparent
2007,2568,2728.7,13861.4,transparent
2008,2524,2982.6,14334.4,#08519c
2009,2105,3517.7,13937.5,transparent
2010,2162.7,3456.2,14359.7,transparent
2011,2303.5,3603.1,14958.6,transparent
2012,2468.6,3795.5,15601.5,#08519c
