State,EV_R,EV_D,EV_I,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,12,0,162355,25.02,69.69,4.95,0.34,40615,113138,8040,562,-44.67,AL,#08519c,-5,#6baed6,-20.1
Arizona,3,0,0,73961,41.26,35.47,23.27,0,30516,26235,17210,0,5.79,AZ,#fee5d9,1,#fee5d9,-5.43
Arkansas,0,9,0,138532,29.28,61.21,9.51,0,40564,84795,13173,0,-31.93,AR,#3182bd,-4,#bdd7e7,-12.17
California,13,0,0,1281900,57.2,8.23,33.13,1.44,733250,105514,424649,18487,48.97,CA,#de2d26,4,#de2d26,7.05
Colorado,6,0,0,342260,57.02,21.98,20.44,0.56,195171,75238,69945,1906,35.04,CO,#fb6a4a,3,#fcae91,11.65
Connecticut,7,0,0,400295,61.54,27.53,10.6,0.33,246322,110184,42416,1373,34.01,CT,#fb6a4a,3,#fcae91,4.32
Delaware,3,0,0,90885,57.7,36.8,5.48,0.02,52441,33445,4979,20,20.9,DE,#fcae91,2,#fee5d9,7.26
Florida,0,6,0,109154,28.06,56.88,7.9,7.16,30633,62083,8625,7813,-28.82,FL,#6baed6,-3,#3182bd,2.52
Georgia,0,14,0,166577,18.19,73.96,7.62,0.23,30300,123200,12691,386,-55.77,GA,#08519c,-5,#08519c,-11.34
Idaho,4,0,0,148295,47.12,16.36,36.52,0,69879,24256,54160,0,30.76,ID,#fb6a4a,3,#fb6a4a,-0.5
Illinois,29,0,0,2470067,58.84,23.36,17.49,0.31,1453321,576975,432027,7744,35.48,IL,#fb6a4a,3,#de2d26,-6.82
Indiana,15,0,0,1272390,55.25,38.69,5.64,0.42,703042,492245,71700,5403,16.56,IN,#fee5d9,1,#fee5d9,1.91
Iowa,13,0,0,976770,55.02,16.42,28.1,0.46,537458,160382,274448,4482,38.6,IA,#fb6a4a,3,#de2d26,-6.85
Kansas,10,0,0,662454,61.54,23.6,14.86,0,407671,156319,98461,3,37.94,KS,#fb6a4a,3,#fb6a4a,5.71
Kentucky,13,0,0,815332,48.93,45.98,4.72,0.37,398966,374855,38465,3046,2.95,KY,#fee5d9,1,#eff3ff,3.38
Louisiana,0,10,0,121951,20.23,76.44,0,3.33,24670,93218,0,4063,-56.21,LA,#08519c,-5,#3182bd,-17.46
