State,EV_D,EV_R,EV,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,5,0,0,564473,56.39,42.16,1.45,318303,237981,8189,0,0,0,-14.23,AL,#bdd7e7,-2,#bdd7e7,2.9
Alaska,0,3,0,60762,49.06,50.94,0,29809,30953,0,0,0,0,1.88,AK,#fee5d9,1,#fcae91,-20.21
Arizona,0,4,0,398491,44.36,55.52,0.12,176781,221241,469,0,0,0,11.16,AZ,#fee5d9,1,#eff3ff,17.8
Arkansas,8,0,0,428509,50.19,43.06,6.75,215049,184508,28952,0,0,0,-7.13,AR,#eff3ff,-1,#fee5d9,-18.25
California,0,32,0,6506578,49.55,50.1,0.35,3224099,3259722,22757,0,0,0,0.55,CA,#fee5d9,1,#fee5d9,-19.13
Colorado,0,6,0,736246,44.91,54.63,0.46,330629,402242,3375,0,0,0,9.72,CO,#fee5d9,1,#fcae91,-17.74
Connecticut,8,0,0,1222883,53.73,46.27,0,657055,565813,15,0,0,0,-7.46,CT,#eff3ff,-1,#fee5d9,-17.93
Delaware,3,0,0,196683,50.63,49,0.37,99590,96373,720,0,0,0,-1.63,DE,#eff3ff,-1,#fee5d9,-16.17
Florida,0,10,0,1544176,48.49,51.51,0,748700,795476,0,0,0,0,3.02,FL,#fee5d9,1,#3182bd,36.85
Georgia,12,0,0,733349,62.54,37.43,0.03,458638,274472,239,0,0,0,-25.11,GA,#6baed6,-3,#fcae91,-47.5
Hawaii,3,0,0,184705,50.03,49.97,0,92410,92295,0,0,0,0,-0.06,HI,#eff3ff,-1,#fee5d9,-19.29
Idaho,0,4,0,300450,46.22,53.78,0,138853,161597,0,0,0,0,7.56,ID,#fee5d9,1,#fcae91,-12.64
Illinois,27,0,0,4757409,49.98,49.8,0.22,2377846,2368988,10575,0,0,0,-0.18,IL,#eff3ff,-1,#fee5d9,-18.59
Indiana,0,13,0,2135360,44.6,55.03,0.37,952358,1175120,7882,0,0,0,10.43,IN,#fee5d9,1,#fb6a4a,-20.8
