State,EV_R,EV_D,EV_I,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,0,10,1049917,13.99,18.72,65.86,1.43,146923,196579,691425,14990,-4.73,AL,#74c476,6,#a50f15,-74.18
Alaska,3,0,0,83035,45.28,42.65,12.07,0.0,37600,35411,10024,0,2.63,AK,#fee5d9,1,#3182bd,34.45
Arizona,5,0,0,486936,54.78,35.02,9.56,0.64,266721,170514,46573,3128,19.76,AZ,#fee5d9,1,#fee5d9,18.76
Arkansas,0,0,6,609590,31.01,30.33,38.65,0.01,189062,184901,235627,0,0.68,AR,#74c476,6,#bdd7e7,13.33
California,40,0,0,7251587,47.82,44.74,6.72,0.72,3467664,3244318,487270,52335,3.08,CA,#fee5d9,1,#bdd7e7,21.4
Colorado,6,0,0,811199,50.46,41.32,7.5,0.72,409345,335174,60813,5867,9.14,CO,#fee5d9,1,#6baed6,32.22
Connecticut,0,8,0,1256232,44.32,49.48,6.1,0.1,556721,621561,76650,1300,-5.16,CT,#eff3ff,-1,#3182bd,30.56
Delaware,3,0,0,214367,45.12,41.61,13.28,0.0,96714,89194,28459,0,3.51,DE,#fee5d9,1,#6baed6,25.68
D. C.,0,3,0,170578,18.18,81.82,0.0,0.0,31012,139566,0,0,-63.64,DC,#08519c,-5,#08519c,7.36
Florida,14,0,0,2187805,40.53,30.93,28.53,0.01,886804,676794,624207,0,9.6,FL,#fee5d9,1,#eff3ff,11.9
Georgia,0,0,12,1250266,30.4,26.75,42.83,0.02,380111,334440,535550,165,3.65,GA,#74c476,6,#fee5d9,-4.6
Hawaii,0,4,0,236218,38.7,59.83,1.47,0.0,91425,141324,3469,0,-21.13,HI,#6baed6,-3,#08519c,36.39
Idaho,4,0,0,291183,56.79,30.66,12.55,0.0,165369,89273,36541,0,26.13,ID,#fcae91,2,#eff3ff,27.97
Illinois,26,0,0,4619749,47.08,44.15,8.46,0.31,2174774,2039814,390958,14203,2.93,IL,#fee5d9,1,#bdd7e7,21.87
Indiana,13,0,0,2123597,50.29,37.99,11.45,0.27,1067885,806659,243108,5945,12.3,IN,#fee5d9,1,#bdd7e7,24.72
Iowa,9,0,0,1167931,53.01,40.82,5.69,0.48,619106,476699,66422,5704,12.19,IA,#fee5d9,1,#6baed6,36.15
Kansas,7,0,0,872783,54.84,34.72,10.19,0.25,478674,302996,88921,2192,20.12,KS,#fcae91,2,#eff3ff,29.15
Kentucky,9,0,0,1055893,43.79,37.65,18.29,0.27,462411,397541,193098,2843,6.14,KY,#fee5d9,1,#6baed6,34.5
Louisiana,0,0,10,1097450,23.47,28.21,48.32,0.0,257535,309615,530300,0,-4.74,LA,#74c476,6,#fee5d9,-18.36
Maine,0,4,0,392936,43.07,55.3,1.62,0.01,169254,217312,6370,0,-12.23,ME,#bdd7e7,-2,#3182bd,25.43
Maryland,0,10,0,1235039,41.94,43.59,14.47,0.0,517995,538310,178734,0,-1.65,MD,#eff3ff,-1,#3182bd,29.29
Massachusetts,0,14,0,2331752,32.89,63.01,3.73,0.37,766844,1469218,87088,8602,-30.12,MA,#3182bd,-4,#08519c,22.63
Michigan,0,21,0,3306250,41.46,48.18,10.04,0.32,1370665,1593082,331968,10535,-6.72,MI,#eff3ff,-1,#3182bd,26.88
Minnesota,0,10,0,1588510,41.46,54.0,4.34,0.2,658643,857738,68931,3198,-12.54,MN,#bdd7e7,-2,#6baed6,15.22
Mississippi,0,0,7,654509,13.52,23.02,63.46,0.0,88516,150644,415349,0,-9.5,MS,#74c476,6,#a50f15,-83.78
