State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1182850,55.73,42.61,1.66,659170,504070,19610,0,0,0.0,-13.12,AL,#bdd7e7,-2,#de2d26,-60.01
Alaska,0,3,123574,35.65,57.9,6.45,44058,71555,7961,0,0,0.0,22.25,AK,#fcae91,2,#fcae91,-1.26
Arizona,0,6,742719,39.8,56.37,3.83,295602,418642,28475,0,0,0.0,16.57,AZ,#fee5d9,1,#fb6a4a,-14.69
Arkansas,6,0,769396,64.94,34.93,0.13,499614,268753,1029,0,0,0.0,-30.01,AR,#3182bd,-4,#fb6a4a,-68.12
California,0,45,7867117,47.57,49.35,3.08,3742284,3882244,242589,0,0,0.0,1.78,CA,#fee5d9,1,#fee5d9,-11.68
Colorado,0,7,1081135,42.58,54.05,3.37,460353,584367,36415,0,0,0.0,11.47,CO,#fee5d9,1,#fcae91,-16.55
Connecticut,0,8,1381526,46.9,52.06,1.04,647895,719261,14370,0,0,0.0,5.16,CT,#fee5d9,1,#fee5d9,-13.28
Delaware,3,0,235834,51.98,46.57,1.45,122596,109831,3407,0,0,0.0,-5.41,DE,#eff3ff,-1,#fcae91,-25.83
D. C.,3,0,168830,81.63,16.51,1.86,137818,27873,3139,0,0,0.0,-65.12,DC,#08519c,-5,#08519c,-8.58
Florida,17,0,3150631,51.93,46.64,1.43,1636000,1469531,45100,0,0,0.0,-5.29,FL,#eff3ff,-1,#de2d26,-49.4
Georgia,12,0,1467458,66.74,32.96,0.3,979409,483743,4306,0,0,0.0,-33.78,GA,#3182bd,-4,#a50f15,-84.17
Hawaii,4,0,291301,50.59,48.06,1.35,147375,140003,3923,0,0,0.0,-2.53,HI,#eff3ff,-1,#fcae91,-27.49
Idaho,0,4,340932,37.12,59.88,3.0,126549,204151,10232,0,0,0.0,22.76,ID,#fcae91,2,#fb6a4a,-15.44
Illinois,0,26,4718833,48.13,50.1,1.77,2271295,2364269,83269,0,0,0.0,1.97,IL,#fee5d9,1,#fee5d9,-16.55
Indiana,0,13,2220362,45.7,53.32,0.98,1014714,1183958,21690,0,0,0.0,7.62,IN,#fee5d9,1,#fb6a4a,-25.15
Iowa,0,8,1279306,48.46,49.47,2.07,619931,632863,26512,0,0,0.0,1.01,IA,#fee5d9,1,#fee5d9,-16.12
Kansas,0,7,957845,44.94,52.49,2.57,430421,502752,24672,0,0,0.0,7.55,KS,#fee5d9,1,#fb6a4a,-30.61
Kentucky,9,0,1167142,52.75,45.57,1.68,615717,531852,19573,0,0,0.0,-7.18,KY,#eff3ff,-1,#fcae91,-35.78
Louisiana,10,0,1278439,51.73,45.95,2.32,661365,587446,29628,0,0,0.0,-5.78,LA,#eff3ff,-1,#fb6a4a,-42.75
Maine,0,4,483208,48.07,48.91,3.02,232279,236320,14609,0,0,0.0,0.84,ME,#fee5d9,1,#fcae91,-22.14
Maryland,10,0,1432273,53.04,46.96,0.0,759612,672661,0,0,0,0.0,-6.08,MD,#eff3ff,-1,#fcae91,-29.98
Massachusetts,14,0,2547558,56.11,40.44,3.45,1429475,1030276,87807,0,0,0.0,-15.67,MA,#bdd7e7,-2,#eff3ff,-6.7
Michigan,0,21,3653749,46.44,51.83,1.73,1696714,1893742,63293,0,0,0.0,5.39,MI,#fee5d9,1,#fee5d9,-9.0
Minnesota,10,0,1949931,54.9,42.02,3.08,1070440,819395,60096,0,0,0.0,-12.88,MN,#bdd7e7,-2,#fee5d9,-18.39
Mississippi,7,0,769360,49.56,47.68,2.76,381309,366846,21205,0,0,0.0,-1.88,MS,#eff3ff,-1,#a50f15,-60.45
Missouri,12,0,1953600,51.1,47.47,1.43,998387,927443,27770,0,0,0.0,-3.63,MO,#eff3ff,-1,#fcae91,-28.21
Montana,0,4,328734,45.4,52.84,1.76,149259,173703,5772,0,0,0.0,7.44,MT,#fee5d9,1,#fcae91,-12.64
Nebraska,0,5,607668,38.46,59.19,2.35,233692,359705,14271,0,0,0.0,20.73,NE,#fcae91,2,#de2d26,-20.27
Nevada,0,3,201876,45.81,50.17,4.02,92479,101273,8124,0,0,0.0,4.36,NV,#fee5d9,1,#fcae91,-23.0
New Hampshire,0,4,339618,43.47,54.75,1.78,147635,185935,6048,0,0,0.0,11.28,NH,#fee5d9,1,#fcae91,-17.85
New Jersey,0,17,3014472,47.92,50.08,2.0,1444653,1509688,60131,0,0,0.0,2.16,NJ,#fee5d9,1,#fcae91,-22.64
New Mexico,0,4,416590,48.28,50.75,0.97,201148,211419,4023,0,0,0.0,2.47,NM,#fee5d9,1,#fcae91,-22.02
New York,41,0,6534420,51.87,47.45,0.68,3389558,3100791,44071,0,0,0.0,-4.42,NY,#eff3ff,-1,#fee5d9,-21.75
North Carolina,13,0,1677906,55.27,44.22,0.51,927365,741960,8581,0,0,0.0,-11.05,NC,#bdd7e7,-2,#de2d26,-51.62
North Dakota,0,3,297094,45.8,51.66,2.54,136078,153470,7546,0,0,0.0,5.86,ND,#fee5d9,1,#fcae91,-20.42
Ohio,25,0,4111873,48.92,48.65,2.43,2011621,2000505,99747,0,0,0.0,-0.27,OH,#eff3ff,-1,#fcae91,-21.83
Oklahoma,0,8,1092251,48.75,49.96,1.29,532442,545708,14101,0,0,0.0,1.21,OK,#fee5d9,1,#de2d26,-48.49
Oregon,0,6,1029876,47.62,47.78,4.6,490407,492120,47349,0,0,0.0,0.16,OR,#fee5d9,1,#fee5d9,-9.96
