State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1378476,59.17,39.86,0.97,815576,549506,13394,0,0,0.0,19.31,AL,#fee5d9,1,#fcae91,-2.95
Alaska,3,0,200116,59.59,36.27,4.14,119251,72584,8281,0,0,0.0,23.32,AK,#fcae91,2,#fb6a4a,-13.46
Arizona,7,0,1171873,59.95,38.74,1.31,702541,454029,15303,0,0,0.0,21.21,AZ,#fcae91,2,#fb6a4a,-12.67
Arkansas,6,0,827738,56.37,42.19,1.44,466578,349237,11923,0,0,0.0,14.18,AR,#fee5d9,1,#fcae91,-8.0
California,47,0,9887064,51.13,47.56,1.31,5054917,4702233,129914,0,0,0.0,3.57,CA,#fee5d9,1,#fee5d9,-12.67
Colorado,8,0,1372394,53.06,45.28,1.66,728177,621453,22764,0,0,0.0,7.78,CO,#fee5d9,1,#fcae91,-20.54
Connecticut,8,0,1443394,51.98,46.87,1.15,750241,676584,16569,0,0,0.0,5.11,CT,#fee5d9,1,#fcae91,-16.79
Delaware,3,0,249891,55.88,43.48,0.64,139639,108647,1605,0,0,0.0,12.4,DE,#fee5d9,1,#fee5d9,-7.45
D. C.,0,3,192877,14.3,82.65,3.05,27590,159407,5880,0,0,0.0,-68.35,DC,#08519c,-5,#08519c,3.3
Florida,21,0,4302313,60.87,38.51,0.62,2618885,1656701,26727,0,0,0.0,22.36,FL,#fcae91,2,#fb6a4a,-8.3
Georgia,12,0,1809672,59.75,39.5,0.75,1081331,714792,13549,0,0,0.0,20.25,GA,#fcae91,2,#fcae91,-0.13
Hawaii,0,4,354461,44.75,54.27,0.98,158625,192364,3472,0,0,0.0,-9.52,HI,#eff3ff,-1,#fee5d9,-20.8
Idaho,4,0,408968,62.08,36.01,1.91,253881,147272,7815,0,0,0.0,26.07,ID,#fcae91,2,#de2d26,-19.9
Illinois,24,0,4559120,50.69,48.6,0.71,2310939,2215940,32241,0,0,0.0,2.09,IL,#fee5d9,1,#fee5d9,-10.78
Indiana,12,0,2168621,59.84,39.69,0.47,1297763,860643,10215,0,0,0.0,20.15,IN,#fcae91,2,#fcae91,-3.84
Iowa,0,8,1225614,44.5,54.71,0.79,545355,670557,9702,0,0,0.0,-10.21,IA,#bdd7e7,-2,#fee5d9,-17.59
Kansas,7,0,993044,55.79,42.56,1.65,554049,422636,16359,0,0,0.0,13.23,KS,#fee5d9,1,#fb6a4a,-20.44
Kentucky,9,0,1322517,55.52,43.88,0.6,734281,580368,7868,0,0,0.0,11.64,KY,#fee5d9,1,#fcae91,-9.03
Louisiana,10,0,1628202,54.27,44.06,1.67,883702,717460,27040,0,0,0.0,10.21,LA,#fee5d9,1,#fcae91,-12.38
Maine,4,0,555035,55.34,43.88,0.78,307131,243569,4335,0,0,0.0,11.46,ME,#fee5d9,1,#fcae91,-10.59
Maryland,10,0,1714358,51.11,48.2,0.69,876167,826304,11887,0,0,0.0,2.91,MD,#fee5d9,1,#fee5d9,-2.58
Massachusetts,0,13,2632805,45.38,53.23,1.39,1194644,1401406,36755,0,0,0.0,-7.85,MA,#eff3ff,-1,#fee5d9,-10.64
Michigan,20,0,3669163,53.57,45.67,0.76,1965486,1675783,27894,0,0,0.0,7.9,MI,#fee5d9,1,#fee5d9,-11.09
Minnesota,0,10,2096790,45.9,52.91,1.19,962337,1109471,24982,0,0,0.0,-7.01,MN,#eff3ff,-1,#eff3ff,-6.83
Mississippi,7,0,931527,59.89,39.07,1.04,557890,363921,9716,0,0,0.0,20.82,MS,#fcae91,2,#fcae91,-3.57
Missouri,11,0,2093228,51.83,47.85,0.32,1084953,1001619,6656,0,0,0.0,3.98,MO,#fee5d9,1,#fcae91,-16.06
Montana,4,0,365674,52.07,46.2,1.73,190412,168936,6326,0,0,0.0,5.87,MT,#fee5d9,1,#fcae91,-16.42
Nebraska,5,0,662372,60.15,39.2,0.65,398447,259646,4279,0,0,0.0,20.95,NE,#fcae91,2,#de2d26,-20.79
Nevada,4,0,350067,58.86,37.92,3.22,206040,132738,11289,0,0,0.0,20.94,NV,#fcae91,2,#fb6a4a,-12.94
New Hampshire,4,0,450525,62.49,36.33,1.18,281537,163696,5292,0,0,0.0,26.16,NH,#fcae91,2,#fb6a4a,-11.55
New Jersey,16,0,3099553,56.24,42.6,1.16,1743192,1320352,36009,0,0,0.0,13.64,NJ,#fee5d9,1,#fcae91,-7.25
New Mexico,5,0,521287,51.86,46.9,1.24,270341,244497,6449,0,0,0.0,4.96,NM,#fee5d9,1,#fcae91,-15.51
New York,0,36,6485683,47.52,51.62,0.86,3081871,3347882,55930,0,0,0.0,-4.1,NY,#eff3ff,-1,#fee5d9,-12.11
North Carolina,13,0,2134370,57.97,41.71,0.32,1237258,890167,6945,0,0,0.0,16.26,NC,#fee5d9,1,#fcae91,-7.75
North Dakota,3,0,297261,56.03,42.97,1.0,166559,127739,2963,0,0,0.0,13.06,ND,#fee5d9,1,#fb6a4a,-17.98
Ohio,23,0,4393699,55.0,44.15,0.85,2416549,1939629,37521,0,0,0.0,10.85,OH,#fee5d9,1,#fee5d9,-7.91
Oklahoma,8,0,1171036,57.93,41.28,0.79,678367,483423,9246,0,0,0.0,16.65,OK,#fee5d9,1,#fb6a4a,-21.29
Oregon,0,7,1201694,46.61,51.28,2.11,560126,616206,25362,0,0,0.0,-4.67,OR,#eff3ff,-1,#fee5d9,-16.84
Pennsylvania,25,0,4536251,50.7,48.39,0.91,2300087,2194944,41220,0,0,0.0,2.31,PA,#fee5d9,1,#fee5d9,-5.04
Rhode Island,0,4,404620,43.93,55.64,0.43,177761,225123,1736,0,0,0.0,-11.71,RI,#bdd7e7,-2,#fee5d9,-15.35
South Carolina,8,0,986009,61.5,37.58,0.92,606443,370554,9012,0,0,0.0,23.92,SC,#fcae91,2,#fcae91,-4.06
South Dakota,3,0,312991,52.85,46.51,0.64,165415,145560,2016,0,0,0.0,6.34,SD,#fee5d9,1,#fcae91,-20.13
Tennessee,11,0,1636250,57.89,41.55,0.56,947233,679794,9223,0,0,0.0,16.34,TN,#fee5d9,1,#fee5d9,0.07
Texas,29,0,5427410,55.95,43.35,0.7,3036829,2352748,37833,0,0,0.0,12.6,TX,#fee5d9,1,#fcae91,-14.9
Utah,5,0,647008,66.22,32.05,1.73,428442,207343,11223,0,0,0.0,34.17,UT,#fb6a4a,3,#de2d26,-15.65
