State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1688060,47.65,40.88,10.85,0.62,804283,690080,183109,10588,0,6.77,AL,#fee5d9,1,#fee5d9,-12.54
Alaska,3,0,258506,39.46,30.29,28.43,1.82,102000,78294,73481,4731,0,9.17,AK,#fee5d9,1,#fcae91,-14.15
Arizona,8,0,1487006,38.47,36.52,23.79,1.22,572086,543050,353741,18129,0,1.95,AZ,#fee5d9,1,#fcae91,-19.26
Arkansas,0,6,950653,35.48,53.21,10.43,0.88,337324,505823,99132,8374,0,-17.73,AR,#bdd7e7,-2,#fee5d9,-31.91
California,0,54,11131721,32.61,46.01,20.63,0.75,3630574,5121325,2296006,83816,0,-13.4,CA,#bdd7e7,-2,#fee5d9,-16.97
Colorado,0,8,1569180,35.87,40.13,23.32,0.68,562850,629681,366010,10639,0,-4.26,CO,#eff3ff,-1,#fee5d9,-12.04
Connecticut,0,8,1616332,35.78,42.21,21.58,0.43,578313,682318,348771,6930,0,-6.43,CT,#eff3ff,-1,#fee5d9,-11.54
Delaware,0,3,289735,35.31,43.51,20.44,0.74,102313,126054,59213,2155,0,-8.2,DE,#eff3ff,-1,#fee5d9,-20.6
D. C.,0,3,227572,9.1,84.64,4.25,2.01,20698,192619,9681,4574,0,-75.54,DC,#08519c,-5,#08519c,-7.19
Florida,25,0,5314392,40.89,39.0,19.82,0.29,2173310,2072698,1053067,15317,0,1.89,FL,#fee5d9,1,#fcae91,-20.47
Georgia,0,13,2321133,42.88,43.47,13.34,0.31,995252,1008966,309657,7258,0,-0.59,GA,#eff3ff,-1,#fcae91,-20.84
Hawaii,0,4,372842,36.7,48.09,14.22,0.99,136822,179310,53003,3707,0,-11.39,HI,#bdd7e7,-2,#eff3ff,-1.87
Idaho,4,0,482142,42.03,28.42,27.04,2.51,202645,137013,130395,12089,0,13.61,ID,#fee5d9,1,#fcae91,-12.46
Illinois,0,22,5050157,34.34,48.58,16.64,0.44,1734096,2453350,840515,22196,0,-14.24,IL,#bdd7e7,-2,#fee5d9,-16.33
Indiana,12,0,2305871,42.91,36.79,19.77,0.53,989375,848420,455934,12142,0,6.12,IN,#fee5d9,1,#fcae91,-14.03
Iowa,0,7,1354607,37.27,43.29,18.71,0.73,504891,586353,253468,9895,0,-6.02,IA,#eff3ff,-1,#bdd7e7,4.19
Kansas,6,0,1157236,38.88,33.74,26.99,0.39,449951,390434,312358,4493,0,5.14,KS,#fee5d9,1,#fee5d9,-8.09
Kentucky,0,8,1492900,41.34,44.55,13.66,0.45,617178,665104,203944,6674,0,-3.21,KY,#eff3ff,-1,#fee5d9,-14.85
Louisiana,0,9,1790017,40.97,45.58,11.81,1.64,733386,815971,211478,29182,0,-4.61,LA,#eff3ff,-1,#fee5d9,-14.82
Maine,0,4,679499,30.39,38.77,30.44,0.4,206504,263420,206820,2755,0,-8.38,ME,#eff3ff,-1,#fee5d9,-19.84
Maryland,0,10,1985046,35.62,49.8,14.18,0.4,707094,988571,281414,7967,0,-14.18,MD,#bdd7e7,-2,#fee5d9,-17.09
Massachusetts,0,12,2773574,29.03,47.54,22.8,0.63,805049,1318662,632312,17551,0,-18.51,MA,#bdd7e7,-2,#eff3ff,-10.66
Michigan,0,18,4274673,36.38,43.77,19.3,0.55,1554940,1871182,824813,23738,0,-7.39,MI,#eff3ff,-1,#fee5d9,-15.29
Minnesota,0,10,2347948,31.85,43.48,23.96,0.71,747841,1020997,562506,16604,0,-11.63,MN,#bdd7e7,-2,#eff3ff,-4.62
Mississippi,7,0,981793,49.68,40.77,8.72,0.83,487793,400258,85626,8116,0,8.91,MS,#fee5d9,1,#fcae91,-11.91
Missouri,0,11,2391565,33.92,44.07,21.69,0.32,811159,1053873,518741,7792,0,-10.15,MO,#bdd7e7,-2,#fee5d9,-14.13
Montana,0,3,410611,35.12,37.63,26.11,1.14,144207,154507,107225,4672,0,-2.51,MT,#eff3ff,-1,#fee5d9,-8.38
Nebraska,5,0,739283,46.58,29.4,23.63,0.39,344346,217344,174687,2906,0,17.18,NE,#fee5d9,1,#fcae91,-3.77
Nevada,0,4,506318,34.73,37.36,26.19,1.72,175828,189148,132580,8762,0,-2.63,NV,#eff3ff,-1,#fcae91,-23.57
New Hampshire,0,4,537945,37.64,38.86,22.56,0.94,202484,209040,121337,5084,0,-1.22,NH,#eff3ff,-1,#fcae91,-27.38
New Jersey,0,15,3343594,40.58,42.95,15.61,0.86,1356865,1436206,521829,28694,0,-2.37,NJ,#eff3ff,-1,#fee5d9,-16.01
New Mexico,0,5,569986,37.34,45.9,16.12,0.64,212824,261617,91895,3650,0,-8.56,NM,#eff3ff,-1,#fee5d9,-13.52
New York,0,33,6926925,33.88,49.73,15.75,0.64,2346649,3444450,1090721,45105,0,-15.85,NY,#bdd7e7,-2,#eff3ff,-11.75
North Carolina,14,0,2611850,43.44,42.65,13.7,0.21,1134661,1114042,357864,5283,0,0.79,NC,#fee5d9,1,#fee5d9,-15.47
North Dakota,3,0,308133,44.22,32.18,23.07,0.53,136244,99168,71084,1637,0,12.04,ND,#fee5d9,1,#fee5d9,-1.02
Ohio,0,21,4939964,38.35,40.18,20.98,0.49,1894310,1984942,1036426,24286,0,-1.83,OH,#eff3ff,-1,#fee5d9,-12.68
Oklahoma,8,0,1390359,42.65,34.02,23.01,0.32,592929,473066,319878,4486,0,8.63,OK,#fee5d9,1,#fee5d9,-8.02
Oregon,0,7,1462643,32.53,42.48,24.21,0.78,475757,621314,354091,11481,0,-9.95,OR,#eff3ff,-1,#eff3ff,-5.28
Pennsylvania,0,23,4959810,36.13,45.15,18.2,0.52,1791841,2239164,902667,26138,0,-9.02,PA,#eff3ff,-1,#fee5d9,-11.33
Rhode Island,0,4,453478,29.02,47.04,23.16,0.78,131601,213299,105045,3533,0,-18.02,RI,#bdd7e7,-2,#bdd7e7,-6.31
South Carolina,8,0,1202527,48.02,39.88,11.55,0.55,577507,479514,138872,6634,0,8.14,SC,#fee5d9,1,#fcae91,-15.78
South Dakota,3,0,336254,40.66,37.14,21.8,0.4,136718,124888,73295,1353,0,3.52,SD,#fee5d9,1,#fee5d9,-2.82
Tennessee,0,11,1982638,42.43,47.08,10.09,0.4,841300,933521,199968,7849,0,-4.65,TN,#eff3ff,-1,#fee5d9,-20.99
Texas,32,0,6154018,40.56,37.08,22.01,0.35,2496071,2281815,1354781,21351,0,3.48,TX,#fee5d9,1,#fee5d9,-9.12
Utah,5,0,744069,43.36,24.65,27.34,4.65,322632,183429,203400,34608,0,18.71,UT,#fee5d9,1,#fb6a4a,-15.46
Vermont,0,3,289701,30.42,46.11,22.78,0.69,88122,133592,65991,1996,0,-15.69,VT,#bdd7e7,-2,#fee5d9,-19.21
Virginia,13,0,2558665,44.97,40.59,13.63,0.81,1150517,1038650,348639,20859,0,4.38,VA,#fee5d9,1,#fcae91,-16.13
Washington,0,11,2288230,31.96,43.4,23.68,0.96,731234,993037,541780,22179,0,-11.44,WA,#bdd7e7,-2,#eff3ff,-9.85
West Virginia,0,5,683711,35.39,48.41,15.92,0.28,241974,331001,108829,1907,0,-13.02,WV,#bdd7e7,-2,#eff3ff,-8.28
Wisconsin,0,11,2531114,36.78,41.13,21.51,0.58,930855,1041066,544479,14714,0,-4.35,WI,#eff3ff,-1,#eff3ff,-0.74
Wyoming,3,0,200625,39.55,33.97,25.55,0.93,79347,68160,51263,1855,0,5.58,WY,#fee5d9,1,#fcae91,-16.94
